0 2709 1120 2472 1188 2656 1998 2168 2398 2290 2623 1148 2897 2777 2522 2904 2122 1434 1523 2300 1500 2673 1727 1431 1848 1982 1792 2115 1499 2541 2965 1692 1425 2275 1479 1406 1614 2563 1718 2010 
1107 0 1508 2684 2396 1059 1021 1968 1639 2702 2045 1708 1704 2245 2175 2452 2711 1123 2009 1898 2063 2557 2639 1496 2931 2771 1153 1772 2512 1594 2807 1323 1480 2944 1902 2328 1414 1637 2884 2680 
2475 2032 0 2814 1844 1695 1940 1969 2979 2497 1381 1392 1720 2057 1012 1333 2133 1001 2755 2993 1434 2506 2408 2509 1187 1689 2399 1885 1262 1404 2162 1085 1150 2988 1897 2389 2035 1273 1856 2374 
1956 2161 2550 0 2589 1584 2206 1969 1512 2102 1698 2896 1158 1982 2405 2006 1959 1107 1813 1359 2545 2275 1508 2259 2530 1593 1140 2592 1628 2905 2720 1338 2192 1021 1673 1307 1801 1988 2999 2484 
1169 1858 1927 2385 0 1745 1065 2391 2276 2205 1385 1412 1379 1266 1037 1825 1259 2038 1339 1512 1312 2788 2511 2078 2214 2599 2161 1141 2095 1357 2062 2572 2527 2617 1243 2121 2615 1279 2392 1240 
2394 1587 1553 2913 1698 0 1913 2427 2838 2317 1477 2877 2580 1542 2462 2654 2654 2652 1920 1708 2209 1778 1427 2977 1230 1681 1557 1190 1994 1862 2387 1203 1117 2063 1147 2585 1285 2586 2303 1340 
2128 1422 2099 2226 1032 2365 0 2796 2312 2660 2011 2570 2783 1963 1875 2531 1264 2508 1523 2365 1058 2885 2039 1049 1603 2817 1099 1620 2239 2709 2870 1477 1656 1272 2397 1470 2659 2027 1130 1243 
2489 1237 2209 2078 1794 1281 2328 0 1633 1899 1194 2707 2036 1432 2905 1638 1382 1235 1618 1182 1926 2120 1531 1919 2207 2577 1344 1616 1187 2631 1282 2576 1050 2159 1193 2154 2243 1103 1894 1412 
2271 2971 2822 1204 1486 1056 2804 1411 0 1206 2137 2187 2949 1731 2385 1391 2100 1496 1403 1217 1769 2815 1272 2807 1298 1875 2165 1940 1171 1579 1943 2384 2655 1619 2049 1197 1593 2539 1962 2506 
2834 1324 1155 2776 2190 2920 2172 2318 1547 0 2516 2099 1034 1877 2120 2428 1322 1131 2462 1694 2869 1733 1028 1782 1761 1041 1650 2460 1967 1792 1890 2253 1376 1440 2321 1244 1824 2542 1212 2643 
1801 1262 1321 2675 1617 1523 1512 1567 2336 2690 0 2840 2537 2577 1202 1310 1989 1048 2765 1480 1818 2866 1480 1981 1650 1865 2199 2456 2722 1420 1419 1453 2175 2384 2539 2653 1912 1024 2160 2382 
1426 1167 1711 2247 2694 1802 1153 2869 1826 1464 2271 0 2222 2035 2544 2834 2703 2748 2790 2217 1139 1992 2216 1396 2481 2010 2482 2316 2803 2874 1171 1739 1463 2690 1773 2269 2871 2817 1896 1177 
1078 1835 2017 1766 1037 1005 1012 1311 2444 2253 1766 2523 0 2757 1599 1486 2871 2021 1922 2857 2229 2309 1184 1650 1144 1759 2852 2876 1831 2171 2592 1604 2671 1574 1630 2908 1076 1694 2614 1230 
2098 2418 2058 1974 1666 1836 1320 1554 1665 1720 2806 1626 2815 0 1868 1023 1268 2563 2001 1020 1688 1779 1429 2801 1898 1027 2202 1081 2249 1334 2759 2125 1463 1184 1469 1001 2104 1164 2148 1741 
2429 1358 2734 2732 2723 1633 1093 2712 2926 1401 2686 1117 2387 1140 0 2888 1833 2112 1858 2289 2807 2170 1391 1202 1641 2048 1362 1370 1887 2582 1089 2565 1911 1857 2376 1316 2194 1762 1098 2097 
1892 2429 1225 2709 1554 1680 1159 2194 2226 1312 2835 1847 2891 1723 2597 0 1017 2611 1406 2312 1967 2793 2135 2222 2773 2911 1766 2123 1573 1680 2391 1167 2013 2843 2603 2855 2020 2797 2385 2407 
1918 2617 1992 1434 2745 2536 2686 2069 2134 2606 2123 1594 1701 1222 2439 2183 0 2408 2481 2506 2804 1880 1119 1141 2255 1975 1039 2401 1378 2297 2468 1368 1288 2704 2117 2519 2161 2510 1292 2640 
2147 1695 1667 2959 1850 1363 2728 1732 1235 2257 2033 1226 2612 2744 1605 1422 2322 0 1387 2675 1583 1821 2330 1311 1608 2652 2112 2333 1014 2105 2489 1413 1011 2988 2776 1757 2215 2082 1900 1414 
2678 2918 1532 2885 2463 2560 1413 1882 1459 1136 2526 1320 1673 1738 2210 2741 3000 2189 0 2229 2554 2474 2614 2997 2830 2864 1324 2823 1359 2954 1697 1615 2477 2510 1179 2369 2803 2948 1940 1166 
2985 2958 2638 2228 2076 2988 1606 1696 1588 1880 2482 1701 1156 2211 1667 1236 1551 2066 2590 0 1114 2880 2938 1084 2894 2794 1953 2913 1176 2958 2380 1906 1357 1482 1241 2102 2206 2538 1118 2281 
1147 2714 2952 1577 1762 1707 1243 1974 1696 1297 2227 1591 1511 2000 2314 2524 2346 2651 1220 1192 0 1530 2199 1891 2670 1093 1458 1113 1884 2974 1160 2901 1079 2183 2369 1295 1767 1854 1609 2099 
2525 2835 1072 1434 1133 1641 2775 1849 1739 1598 2749 2271 2200 2790 2057 1758 1161 1625 2863 1390 1521 0 2288 2411 1437 1859 1049 2044 2112 2626 1606 2406 1567 2340 1130 1361 1179 1429 2075 2030 
1904 1294 1971 2251 2201 2247 1198 2352 1745 2325 2143 2360 2173 1739 2459 1113 1362 2196 2838 1024 1427 2594 0 1403 1436 1785 1478 1258 1342 2289 1927 2329 2473 1194 1602 2968 2137 1182 2043 1527 
1286 1203 2612 1256 1265 1473 2324 2905 2873 1615 2389 1447 2951 2091 1500 1617 2361 1038 1259 2735 1038 2694 1084 0 2319 1264 2692 2997 2665 2785 2084 2247 2146 1057 1189 1105 1710 2902 2126 1873 
1473 2493 1034 2818 2992 2469 2075 1550 1640 1858 1404 1831 2577 2083 1208 1012 2045 1854 2726 2281 1719 1664 1833 2174 0 1698 1093 2531 1039 2963 1545 2452 2490 1826 2217 2663 2358 2092 1468 1260 
2670 1090 1230 2837 2198 1649 1714 2660 1998 2643 2939 2994 1602 1416 1602 1721 2703 1446 1742 1498 2734 2228 1538 1644 2748 0 1135 2940 1931 1620 2815 1602 2161 1421 2951 2168 1389 2520 2724 2220 
3000 2949 1709 1720 2508 1239 1760 2600 1044 1351 2308 1372 1537 1438 1130 1507 1877 1185 1632 1750 2261 2520 2324 1118 2291 1379 0 2696 1926 1341 2670 2596 2144 1564 2958 2980 1387 1163 2508 2297 
2945 1013 1109 2934 1631 2792 2082 2003 1341 2797 2917 1065 2116 1321 1029 2878 2677 1068 1680 1058 1995 2441 1497 2866 2525 2628 2667 0 1030 2020 1415 1136 2466 1523 2378 1591 1449 1638 1309 2482 
2978 2762 2123 2634 2282 2290 2388 2059 1220 2928 1093 2569 2989 1333 2046 2029 2991 2087 2532 2029 2987 1775 1409 2760 1403 1258 1659 2267 0 1353 1514 1390 2936 2271 1769 1381 1625 1534 2726 2175 
2783 2367 1702 1794 2409 1675 2227 2950 2922 1487 1536 1072 1764 1535 1605 1825 2260 1795 2453 1576 1748 1796 2212 1707 2460 2266 2410 2556 1143 0 2818 2911 1092 2209 1614 2714 1072 1664 2769 1321 
1003 2462 2724 2192 1583 1235 1340 1995 1261 1109 1589 2694 1116 1557 2878 1319 1973 2834 1831 1111 2392 1173 1581 1765 2755 2561 1662 2693 2025 2956 0 1978 1463 2164 2888 2638 1287 2728 2249 2459 
2509 2091 2924 1282 1292 2606 2185 2812 1764 1853 2353 1064 1236 1818 1881 1367 1669 1444 2826 2872 1717 1979 2801 1836 1869 1847 2519 2878 2328 2630 1551 0 1130 2698 2392 1950 2624 1001 2807 2633 
2643 1257 2460 1362 2343 1229 1164 1958 1079 1987 2084 2523 1093 2017 2246 2110 2399 2072 2195 2217 1968 2762 1892 2422 2435 1791 1520 2133 1654 2371 2822 2036 0 2612 2881 1031 2189 2656 1621 1529 
1120 2469 2510 1125 2221 2356 1936 1707 2452 2704 1030 1567 2995 1332 2685 1114 1139 1044 1825 1085 1505 1290 1347 2306 2074 2948 1411 2887 1306 2460 2563 2088 1822 0 2355 2743 2014 2494 2222 1603 
2502 1998 2049 1260 2682 2626 2986 1062 1276 2118 2509 1623 2691 2212 1875 2697 2161 2310 2314 1091 2864 1398 2960 1053 1077 2925 1032 1681 1428 2719 2729 1903 1577 2739 0 1446 2235 1589 2788 2667 
1449 1767 2021 1097 1355 2585 1569 1464 2766 2040 2466 2235 2126 1186 1438 2400 2445 2311 1616 1571 2058 1966 1926 1175 2429 1321 1174 1264 1326 2148 1398 2678 1986 2885 1335 0 1877 1452 1521 2280 
2486 2887 2836 2329 2919 2821 2975 1971 2105 2805 2397 1494 1432 1124 1905 1588 2622 1045 2676 1984 1525 2876 2025 2628 1154 1240 1532 2999 2627 1729 1501 2533 2804 2256 1205 2180 0 2249 1884 1648 
2010 2386 1741 2443 1399 2659 2321 1186 2828 2304 1339 2131 1023 2508 2098 2220 1495 1034 2844 2776 1900 2021 1995 1053 2990 2707 2643 2854 2265 2560 1607 1965 1410 2518 2449 2580 1347 0 1949 2737 
2278 1383 1435 1153 2478 1075 1063 2666 1715 1787 1501 2503 2405 1967 2999 1386 1930 2256 1537 1162 2634 1963 2043 1826 1470 2344 2947 2492 2728 2659 1942 2451 1172 2121 2251 2109 2110 2706 0 1791 
2940 2564 2078 1823 2188 2524 2012 2143 2459 1918 1804 2919 1284 1830 1713 1150 1195 1498 2000 1412 2031 1068 1977 2283 2622 1933 1943 1374 1963 1481 1007 2187 2802 2747 2160 2744 1907 1739 1168 0 
