0 23  1 0.5 -1
0   1 0.25 -1
0   1 0.25 -1
0 16 3 2 0.6 -1
0   2 0.4 -1
0   3 1 -1
0 16  4 0.4 -1
0 20 22 4 0.3 -1
0 16 29 4 0.3 -1
0 22 11 5 1 -1
0   6 1 -1
0   7 1 -1
0   8 0.333333 -1
0   8 0.333333 -1
0   8 0.333333 -1
0 27  9 1 -1
0 20 9 10 1 -1
0 2  11 0.666667 -1
0   11 0.333333 -1
0 30 34 12 1 -1
0 5  13 1 -1
0 32 25 14 1 -1
0 9  15 0.4 -1
0 16 10 15 0.3 -1
0 16 9 15 0.3 -1
0 27  16 0.666667 -1
0   16 0.333333 -1
0 9 29 17 0.6 -1
0   17 0.4 -1
0 34 1 18 1 -1
0   19 1 -1
0   20 1 -1
0 39 13 21 0.6 -1
0   21 0.4 -1
0   22 0.4 -1
0 1 29 22 0.6 -1
0 32 20 23 0.5 -1
0 21 37 23 0.5 -1
0 13 20 24 0.6 -1
0   24 0.4 -1
0   25 1 -1
0   26 1 -1
0 26 32 27 1 -1
0 3  28 1 -1
0 33  29 0.571429 -1
0 13 37 29 0.428571 -1
0 25  30 0.5 -1
0 22  30 0.5 -1
0 30  31 0.571429 -1
0 33 16 31 0.428571 -1
0 8 20 32 0.3 -1
0 22 14 32 0.3 -1
0 9  32 0.4 -1
0 16  33 1 -1
0   34 0.2 -1
0 32  34 0.4 -1
0 33  34 0.4 -1
0 7  35 0.333333 -1
0 29  35 0.333333 -1
0 30  35 0.333333 -1
0   36 0.333333 -1
0 13  36 0.666667 -1
0 14  37 0.571429 -1
0 26 2 37 0.428571 -1
0   38 0.333333 -1
0 33  38 0.666667 -1
0   39 1 -1
1 21 22 0 0.428571 -1
1 16  0 0.571429 -1
1 30  2 0.444444 -1
1   2 0.222222 -1
1 27 37 2 0.333333 -1
1   3 0.2 -1
1 26  3 0.4 -1
1 20  3 0.4 -1
1   4 0.25 -1
1 29  4 0.5 -1
1   4 0.25 -1
1 21 30 5 0.428571 -1
1 31  5 0.571429 -1
1 11 13 6 0.5 -1
1 10 20 6 0.5 -1
1 37  7 1 -1
1   8 0.333333 -1
1 26  8 0.666667 -1
1 23 36 9 1 -1
1 34 30 10 0.428571 -1
1 2  10 0.571429 -1
1 27  11 0.333333 -1
1 19  11 0.333333 -1
