0 24 8 1 0.3 -1
0 49  1 0.4 -1
0 44 40 1 0.3 -1
0 45 32 2 1 -1
0   3 0.222222 -1
0 51  3 0.444444 -1
0 26 40 3 0.333333 -1
0   4 0.333333 -1
0 56  4 0.666667 -1
0 2  5 0.5 -1
0 21  5 0.5 -1
0 18 23 6 0.428571 -1
0   6 0.285714 -1
0   6 0.285714 -1
0   7 1 -1
0 18 5 8 0.5 -1
0 23 21 8 0.5 -1
0 2  9 0.666667 -1
0   9 0.333333 -1
0   10 0.333333 -1
0   10 0.333333 -1
0   10 0.333333 -1
0   11 0.222222 -1
0 8  11 0.444444 -1
0 32 19 11 0.333333 -1
0 36  12 0.571429 -1
0 22 37 12 0.428571 -1
0 43  13 0.4 -1
0 37 32 13 0.3 -1
0 37 21 13 0.3 -1
0 11  14 0.363636 -1
0 46 50 14 0.272727 -1
0 10  14 0.363636 -1
0 22 49 15 0.5 -1
0 50 52 15 0.5 -1
0 51 49 16 0.333333 -1
0 44  16 0.444444 -1
0   16 0.222222 -1
0 50  17 1 -1
0 19  18 0.5 -1
0 27  18 0.5 -1
0 15  19 1 -1
0 22  20 0.5 -1
0   20 0.25 -1
0   20 0.25 -1
0 4 22 21 1 -1
0 41 59 22 1 -1
0 25 44 23 0.428571 -1
0   23 0.285714 -1
0   23 0.285714 -1
0 36  24 0.4 -1
0 18 23 24 0.3 -1
0 51 10 24 0.3 -1
0 18  25 0.333333 -1
0 51  25 0.333333 -1
0 44  25 0.333333 -1
0   26 1 -1
0   27 0.4 -1
0 39 23 27 0.6 -1
0 10 19 28 0.6 -1
0   28 0.4 -1
0   29 1 -1
0 24  30 0.4 -1
0 12 27 30 0.3 -1
0 29 7 30 0.3 -1
0 33  31 0.444444 -1
0   31 0.222222 -1
0 55 19 31 0.333333 -1
0   32 1 -1
0   33 0.333333 -1
0   33 0.333333 -1
0   33 0.333333 -1
0 31  34 0.571429 -1
0 56 52 34 0.428571 -1
0 59 43 35 0.3 -1
0 41  35 0.4 -1
0 55 56 35 0.3 -1
0 51 39 36 0.428571 -1
0 54  36 0.571429 -1
