0 10  1 0.5 -1
0 8  1 0.5 -1
0 12 9 2 0.5 -1
0 50 15 2 0.5 -1
0 62  3 0.4 -1
0 57 37 3 0.3 -1
0 51 1 3 0.3 -1
0   4 0.222222 -1
0 45  4 0.444444 -1
0 39 14 4 0.333333 -1
0 2  5 0.571429 -1
0 10 12 5 0.428571 -1
0   6 0.5 -1
0   6 0.5 -1
0 56 54 7 1 -1
0 42  8 1 -1
0 32  9 0.5 -1
0 40  9 0.5 -1
0 67  10 0.363636 -1
0 66  10 0.363636 -1
0 37 28 10 0.272727 -1
0 53  11 1 -1
0 24 2 12 0.3 -1
0 7 9 12 0.3 -1
0 7  12 0.4 -1
0 25 11 13 0.3 -1
0 57  13 0.4 -1
0 59 34 13 0.3 -1
0 9 59 14 0.3 -1
0 20 7 14 0.3 -1
0 68  14 0.4 -1
0 51  15 0.5 -1
0 24  15 0.5 -1
0 32  16 0.5 -1
0 62  16 0.5 -1
0   17 1 -1
0   18 1 -1
0 14  19 0.444444 -1
0 34 45 19 0.333333 -1
0   19 0.222222 -1
0 30  20 0.571429 -1
0 28 1 20 0.428571 -1
0 54 30 21 0.6 -1
0   21 0.4 -1
0   22 0.25 -1
0 26 46 22 0.375 -1
0 62 38 22 0.375 -1
0 27 11 23 1 -1
0 66 4 24 1 -1
0 23 32 25 0.5 -1
0 45 19 25 0.5 -1
0 15 22 26 0.375 -1
0   26 0.25 -1
0 67 63 26 0.375 -1
0   27 1 -1
0   28 0.2 -1
0 32  28 0.4 -1
0 37  28 0.4 -1
0   29 1 -1
0   30 0.333333 -1
0 22  30 0.666667 -1
0 9 69 31 1 -1
0 63 55 32 1 -1
0 24 20 33 0.3 -1
0 49 48 33 0.3 -1
0 47  33 0.4 -1
0 51  34 1 -1
0 23  35 0.571429 -1
0 30 49 35 0.428571 -1
0 14  36 1 -1
0 3  37 0.363636 -1
0 27  37 0.363636 -1
0 24 23 37 0.272727 -1
0   38 0.25 -1
0 52  38 0.5 -1
0   38 0.25 -1
0 22  39 0.4 -1
0 66 16 39 0.3 -1
0 52 30 39 0.3 -1
0   40 1 -1
0   41 1 -1
0 57  42 1 -1
0 34  43 1 -1
0   44 0.25 -1
0 24  44 0.5 -1
0   44 0.25 -1
0 54 51 45 1 -1
0 7  46 1 -1
0 12 37 47 1 -1
0 22  48 0.444444 -1
0 10 7 48 0.333333 -1
0   48 0.222222 -1
0 22  49 1 -1
0   50 0.333333 -1
0 10  50 0.666667 -1
0 66 28 51 0.375 -1
0   51 0.25 -1
0 34 12 51 0.375 -1
0 43  52 0.571429 -1
0 45 24 52 0.428571 -1
0 7 56 53 0.333333 -1
0 31 51 53 0.333333 -1
0 47 17 53 0.333333 -1
0   54 0.25 -1
0 20  54 0.5 -1
0   54 0.25 -1
0 24 15 55 0.5 -1
0 34 18 55 0.5 -1
0   56 0.25 -1
0   56 0.25 -1
0 50  56 0.5 -1
0 49  57 1 -1
0 37 53 58 0.272727 -1
0 22  58 0.363636 -1
0 14  58 0.363636 -1
0 7  59 0.333333 -1
0 32  59 0.333333 -1
0 44  59 0.333333 -1
0 15  60 0.5 -1
0 68  60 0.5 -1
0   61 0.222222 -1
0 39  61 0.444444 -1
0 30 51 61 0.333333 -1
0 30  62 0.5 -1
0 39  62 0.5 -1
0 33 39 63 0.6 -1
0   63 0.4 -1
0 46 25 64 1 -1
0 19 21 65 0.333333 -1
0   65 0.222222 -1
0 37  65 0.444444 -1
0 44 31 66 0.6 -1
0   66 0.4 -1
0 22 30 67 0.272727 -1
0 41  67 0.363636 -1
0 27  67 0.363636 -1
0   68 1 -1
0 23  69 0.571429 -1
0 56 30 69 0.428571 -1
1   0 1 -1
1 0  2 0.4 -1
1 59 51 2 0.3 -1
1 14 39 2 0.3 -1
1 53  3 0.363636 -1
1 16 62 3 0.272727 -1
1 14  3 0.363636 -1
1 45  4 1 -1
1 63  5 0.4 -1
1 54  5 0.4 -1
1   5 0.2 -1
1 19 25 6 1 -1
1 44  7 0.666667 -1
1   7 0.333333 -1
1 50 57 8 1 -1
1 16 33 9 0.272727 -1
1 26  9 0.363636 -1
1 69  9 0.363636 -1
1 37 7 10 0.333333 -1
1 30 27 10 0.333333 -1
1 66 50 10 0.333333 -1
1   11 1 -1
1 66 16 12 1 -1
1 2 37 13 0.375 -1
1   13 0.25 -1
1 55 51 13 0.375 -1
1 44 45 14 0.6 -1
