0 32 59 1 1 -1
0 1  2 1 -1
0   3 1 -1
0 66  4 0.4 -1
0 64 18 4 0.3 -1
0 50 17 4 0.3 -1
0 63  5 1 -1
0 45  6 0.571429 -1
0 52 44 6 0.428571 -1
0   7 0.5 -1
0   7 0.5 -1
0 65 45 8 0.428571 -1
0   8 0.285714 -1
0   8 0.285714 -1
0   9 1 -1
0   10 0.333333 -1
0 55  10 0.666667 -1
0 5 18 11 0.375 -1
0   11 0.25 -1
0 36 6 11 0.375 -1
0 57  12 0.571429 -1
0 44 41 12 0.428571 -1
0   13 0.4 -1
0 69 23 13 0.6 -1
0 8  14 0.5 -1
0 34  14 0.5 -1
0   15 1 -1
0 50 19 16 0.428571 -1
0 35  16 0.571429 -1
0 5 64 17 0.333333 -1
0   17 0.222222 -1
0 33  17 0.444444 -1
0 19 69 18 0.428571 -1
0 49  18 0.571429 -1
0 2 13 19 0.5 -1
0 24 59 19 0.5 -1
0 51  20 0.666667 -1
0   20 0.333333 -1
0 16  21 0.363636 -1
0 3  21 0.363636 -1
0 5 26 21 0.272727 -1
0   22 0.222222 -1
0 66  22 0.444444 -1
0 3 30 22 0.333333 -1
0 2  23 0.666667 -1
0   23 0.333333 -1
0   24 0.222222 -1
0 46 7 24 0.333333 -1
0 27  24 0.444444 -1
0 55 2 25 0.333333 -1
0 44  25 0.444444 -1
0   25 0.222222 -1
0   26 0.333333 -1
0 22  26 0.666667 -1
0   27 1 -1
0 34 47 28 0.5 -1
0 51 66 28 0.5 -1
0 17  29 0.444444 -1
0   29 0.222222 -1
0 36 44 29 0.333333 -1
0   30 0.285714 -1
0 45 7 30 0.428571 -1
0   30 0.285714 -1
0 63 5 31 0.3 -1
0 32  31 0.4 -1
0 19 5 31 0.3 -1
0 19  32 0.666667 -1
0   32 0.333333 -1
0 63 61 33 1 -1
0 23  34 0.333333 -1
0 31  34 0.333333 -1
0 15  34 0.333333 -1
0 24  35 0.666667 -1
0   35 0.333333 -1
0 1 61 36 0.6 -1
0   36 0.4 -1
0   37 1 -1
0   38 0.222222 -1
0 6 8 38 0.333333 -1
0 47  38 0.444444 -1
0 67  39 0.333333 -1
0 17  39 0.333333 -1
0 61  39 0.333333 -1
0 19  40 0.4 -1
0 45 59 40 0.3 -1
0 8 61 40 0.3 -1
0 36  41 0.666667 -1
0   41 0.333333 -1
0 20 63 42 0.333333 -1
0 16  42 0.444444 -1
0   42 0.222222 -1
0 6  43 0.444444 -1
0   43 0.222222 -1
0 2 49 43 0.333333 -1
0   44 0.285714 -1
0 20 35 44 0.428571 -1
0   44 0.285714 -1
0 18 24 45 0.5 -1
0 2 61 45 0.5 -1
0 42 5 46 0.428571 -1
0 64  46 0.571429 -1
0 6 66 47 1 -1
0 32  48 1 -1
0 5 66 49 0.375 -1
0 21 44 49 0.375 -1
0   49 0.25 -1
0   50 0.222222 -1
0 2  50 0.444444 -1
0 64 17 50 0.333333 -1
0 50  51 1 -1
0   52 1 -1
0 32  53 0.363636 -1
0 41  53 0.363636 -1
0 61 47 53 0.272727 -1
0   54 1 -1
0   55 0.285714 -1
0 42 64 55 0.428571 -1
0   55 0.285714 -1
0 32  56 0.5 -1
0   56 0.25 -1
0   56 0.25 -1
0 42  57 0.333333 -1
0 8  57 0.333333 -1
0 68  57 0.333333 -1
0 47  58 1 -1
0 41  59 1 -1
0 53  60 1 -1
0 27 19 61 0.272727 -1
