0 19  1 1 -1
0   2 0.5 -1
0   2 0.5 -1
0 7 14 3 0.333333 -1
0 52  3 0.444444 -1
0   3 0.222222 -1
0 32 25 4 0.272727 -1
0 1  4 0.363636 -1
0 7  4 0.363636 -1
0 31  5 0.444444 -1
0 61 2 5 0.333333 -1
0   5 0.222222 -1
0 13  6 1 -1
0   7 0.25 -1
0 34 64 7 0.375 -1
0 48 15 7 0.375 -1
0 74 58 8 0.428571 -1
0 43  8 0.571429 -1
0 61  9 0.571429 -1
0 70 35 9 0.428571 -1
0 66 23 10 1 -1
0 30 66 11 1 -1
0 7 10 12 0.5 -1
0 20 37 12 0.5 -1
0 75  13 1 -1
0 64  14 0.5 -1
0 26  14 0.5 -1
0   15 0.333333 -1
0 10  15 0.666667 -1
0 41  16 1 -1
0   17 0.222222 -1
0 13  17 0.444444 -1
0 46 69 17 0.333333 -1
0 60 68 18 0.3 -1
0 38 72 18 0.3 -1
0 40  18 0.4 -1
0   19 0.333333 -1
0 70  19 0.666667 -1
0 34  20 0.5 -1
0 7  20 0.5 -1
0 20  21 0.5 -1
0   21 0.25 -1
0   21 0.25 -1
0 3  22 0.363636 -1
0 6  22 0.363636 -1
0 48 69 22 0.272727 -1
0 5 75 23 0.6 -1
0   23 0.4 -1
0 46 18 24 0.428571 -1
0 1  24 0.571429 -1
0 39 20 25 0.428571 -1
0   25 0.285714 -1
0   25 0.285714 -1
0 43  26 1 -1
0 8 77 27 0.5 -1
0 10 25 27 0.5 -1
0   28 0.333333 -1
0 30  28 0.666667 -1
0 64  29 0.444444 -1
0 26 30 29 0.333333 -1
0   29 0.222222 -1
0 64  30 1 -1
0 9 61 31 0.6 -1
0   31 0.4 -1
0 74  32 1 -1
0 41  33 0.444444 -1
0   33 0.222222 -1
0 18 23 33 0.333333 -1
0 20 38 34 0.333333 -1
0   34 0.222222 -1
0 3  34 0.444444 -1
0 33  35 0.666667 -1
0   35 0.333333 -1
0 51  36 0.571429 -1
0 35 3 36 0.428571 -1
0   37 0.222222 -1
0 74 32 37 0.333333 -1
0 73  37 0.444444 -1
0   38 0.333333 -1
0 74  38 0.666667 -1
0 55 34 39 1 -1
0 23  40 0.363636 -1
0 36  40 0.363636 -1
0 58 70 40 0.272727 -1
0 53  41 1 -1
0 33 59 42 0.375 -1
0 56 31 42 0.375 -1
0   42 0.25 -1
0   43 1 -1
0 26  44 1 -1
0 34  45 1 -1
0 20  46 1 -1
0 30 7 47 1 -1
0 8  48 0.571429 -1
0 18 74 48 0.428571 -1
0 29 74 49 1 -1
0 36 69 50 1 -1
0   51 0.333333 -1
0 12  51 0.666667 -1
0   52 0.5 -1
0   52 0.5 -1
