0 56  1 0.4 -1
0   1 0.2 -1
0 13  1 0.4 -1
0 55  2 0.444444 -1
0 47 53 2 0.333333 -1
0   2 0.222222 -1
0 42 53 3 1 -1
0 73  4 1 -1
0 64 27 5 0.375 -1
0   5 0.25 -1
0 84 54 5 0.375 -1
0 60 42 6 0.375 -1
0   6 0.25 -1
0 2 7 6 0.375 -1
0   7 1 -1
0 27  8 0.571429 -1
0 91 13 8 0.428571 -1
0 34  9 0.571429 -1
0 90 61 9 0.428571 -1
0 79  10 0.5 -1
0 19  10 0.5 -1
0   11 0.333333 -1
0 99  11 0.666667 -1
0 15 8 12 0.375 -1
0 15 22 12 0.375 -1
0   12 0.25 -1
0   13 0.333333 -1
0 29  13 0.666667 -1
0   14 1 -1
0 8  15 1 -1
0 90  16 1 -1
0   17 0.25 -1
0   17 0.25 -1
0 20  17 0.5 -1
0   18 1 -1
0   19 1 -1
0 61  20 0.571429 -1
0 18 2 20 0.428571 -1
0   21 0.25 -1
0 63 5 21 0.375 -1
0 60 2 21 0.375 -1
0 90  22 0.4 -1
0 5 23 22 0.3 -1
0 80 44 22 0.3 -1
0 27  23 1 -1
0 7 8 24 1 -1
0   25 0.4 -1
0 79 59 25 0.6 -1
0 7  26 0.4 -1
0 35 70 26 0.3 -1
0 68 14 26 0.3 -1
0 69 54 27 1 -1
0 95  28 1 -1
0   29 0.222222 -1
0 3  29 0.444444 -1
0 17 19 29 0.333333 -1
0   30 0.4 -1
0 26 70 30 0.6 -1
0 85  31 0.666667 -1
0   31 0.333333 -1
0   32 0.5 -1
0   32 0.5 -1
0 83 70 33 0.3 -1
0 2 85 33 0.3 -1
0 27  33 0.4 -1
0 23  34 0.666667 -1
0   34 0.333333 -1
0 19  35 1 -1
0 32 51 36 0.6 -1
0   36 0.4 -1
0   37 0.333333 -1
0   37 0.333333 -1
0   37 0.333333 -1
0 27  38 1 -1
0 19  39 0.444444 -1
0   39 0.222222 -1
0 90 21 39 0.333333 -1
0 43 4 40 1 -1
0 53  41 0.444444 -1
0 56 13 41 0.333333 -1
0   41 0.222222 -1
0 28 83 42 0.428571 -1
0 97  42 0.571429 -1
0 42 97 43 0.428571 -1
0 7  43 0.571429 -1
0 3  44 0.571429 -1
0 20 69 44 0.428571 -1
0 48 96 45 1 -1
0   46 1 -1
0   47 0.5 -1
0   47 0.5 -1
0 31  48 0.571429 -1
0 42 71 48 0.428571 -1
0 5  49 0.333333 -1
0 52  49 0.333333 -1
0 90  49 0.333333 -1
0 64  50 1 -1
0 26  51 0.4 -1
0 27 79 51 0.3 -1
0 54 53 51 0.3 -1
0 46  52 0.444444 -1
