0 54  1 0.48 -1
0 68 4 1 0.24 -1
0 58 6 1 0.36 -1
0 21  2 0.32 -1
0   2 0.16 -1
0 13  2 0.32 -1
0   3 0.266667 -1
0 4  3 0.8 -1
0   4 0.6 -1
0   4 0.6 -1
0 3 32 5 0.342857 -1
0   5 0.228571 -1
0   5 0.228571 -1
0   6 0.48 -1
0 19 29 6 0.48 -1
0   7 0.8 -1
0 30 1 8 0.6 -1
0 36 50 8 0.6 -1
0 59 1 9 0.45 -1
0 53 36 9 0.45 -1
0   9 0.3 -1
0 17 25 10 0.6 -1
0 37 1 10 0.6 -1
0 53  11 1.2 -1
0   12 1.2 -1
0 69  13 0.8 -1
0   14 0.342857 -1
0   14 0.228571 -1
0 35 34 14 0.514286 -1
0 24  15 0.8 -1
0 9 62 16 0.8 -1
0   17 0.266667 -1
0 57  17 0.8 -1
0 60 39 18 0.8 -1
0   19 0.2 -1
0 62 34 19 0.45 -1
0 9 8 19 0.45 -1
0   20 0.32 -1
0 15 37 20 0.72 -1
0 13 32 21 0.48 -1
0   21 0.32 -1
0   22 0.32 -1
0 50 60 22 0.48 -1
0 57  23 0.6 -1
0 48  23 0.4 -1
0   24 1.2 -1
0   25 0.3 -1
0   25 0.2 -1
0 1  25 0.4 -1
0   26 0.4 -1
0 32  26 0.8 -1
0 59 37 27 1.2 -1
0 52  28 0.8 -1
0 40 12 29 1.2 -1
0   30 0.48 -1
0 35 16 30 0.72 -1
0 32  31 0.685714 -1
0 7 13 31 0.514286 -1
0 56  32 0.6 -1
0 8  32 0.6 -1
0 28  33 0.8 -1
0 60  34 1.2 -1
0   35 0.48 -1
0 61 23 35 0.48 -1
0   36 1.2 -1
0 32 31 37 1.2 -1
0   38 0.266667 -1
0 34  38 0.8 -1
0 15  39 0.457143 -1
0 2 32 39 0.514286 -1
0   40 0.342857 -1
0 19 65 40 0.342857 -1
0   40 0.228571 -1
0 63 5 41 1.2 -1
0 22  42 0.533333 -1
0 32 34 42 0.266667 -1
0   42 0.266667 -1
0   43 0.6 -1
0   43 0.4 -1
0 38  44 0.8 -1
0   44 0.266667 -1
0 7  45 1.2 -1
0 40 13 46 0.36 -1
0 21 1 46 0.36 -1
0 23  46 0.48 -1
0 21 59 47 0.266667 -1
0   47 0.177778 -1
0 57  47 0.355556 -1
0 1  48 0.8 -1
0   49 0.2 -1
0   49 0.3 -1
0 11  49 0.6 -1
0   50 0.342857 -1
0 12 61 50 0.342857 -1
0   50 0.228571 -1
0 11 22 51 0.342857 -1
0   51 0.342857 -1
0   51 0.342857 -1
0 32 38 52 0.342857 -1
0 12  52 0.457143 -1
0 66  53 0.8 -1
0   54 1.2 -1
0 32 26 55 0.8 -1
0 11 66 56 0.8 -1
0 54 63 57 0.8 -1
0   58 0.4 -1
0   58 0.4 -1
0 16  59 0.32 -1
0 7  59 0.48 -1
0   59 0.24 -1
0 44  60 0.457143 -1
0 1 7 60 0.514286 -1
0 23  61 0.290909 -1
0 7  61 0.436364 -1
0 1 11 61 0.218182 -1
0 32 37 62 0.48 -1
0   62 0.32 -1
0 1 21 63 1.2 -1
0 37 43 64 0.4 -1
0   64 0.266667 -1
0 33  64 0.355556 -1
0 2 51 65 0.4 -1
0 62  65 0.355556 -1
0   65 0.266667 -1
0   66 0.8 -1
0 12 21 67 0.4 -1
0 9 19 67 0.4 -1
0 11  68 0.8 -1
0   68 0.266667 -1
0   69 0.3 -1
0 30 66 69 0.3 -1
0 21 25 69 0.3 -1
1 66  0 1.2 -1
1 35 59 2 1.2 -1
1 30 42 3 0.6 -1
1 8 65 3 0.4 -1
1 37 34 4 1.2 -1
1 66  5 0.436364 -1
1 7 69 5 0.218182 -1
1 59  5 0.436364 -1
1 19 30 6 0.48 -1
1   6 0.48 -1
1   7 1.2 -1
1 69 58 8 0.8 -1
1 30 66 9 0.8 -1
1   10 0.8 -1
1 34  11 0.8 -1
1   11 0.4 -1
1   12 0.48 -1
1 26 30 12 0.72 -1
1 40 29 13 0.8 -1
1 32  14 0.8 -1
1   15 0.266667 -1
1 38  15 0.8 -1
1 25  16 0.8 -1
1   17 0.4 -1
1 28  17 0.533333 -1
1 0 15 18 1.2 -1
1 38  19 0.32 -1
1 15 39 19 0.24 -1
1 36 38 19 0.24 -1
1 14 17 20 0.4 -1
1 16 33 20 0.266667 -1
1 17 53 20 0.266667 -1
1 22 54 21 0.8 -1
1 15 38 22 0.72 -1
1   22 0.32 -1
1 11 22 23 0.3 -1
1   23 0.3 -1
1 63 32 23 0.3 -1
1   24 0.32 -1
1 36 54 24 0.48 -1
1   25 0.266667 -1
1 47  25 0.355556 -1
1 26 2 25 0.266667 -1
1 42  26 0.6 -1
1 13  26 0.4 -1
1 42 39 27 0.266667 -1
1 33  27 0.533333 -1
1   27 0.177778 -1
1 67  28 0.8 -1
1 51 65 29 0.3 -1
1   29 0.2 -1
1 9 31 29 0.3 -1
1 2 66 30 1.2 -1
1 32  31 0.436364 -1
1 44 0 31 0.218182 -1
1 38  31 0.436364 -1
1 16  32 0.436364 -1
1 30  32 0.290909 -1
1 17 2 32 0.218182 -1
1 50 31 33 0.514286 -1
1 8  33 0.685714 -1
1   34 0.266667 -1
1 64  34 0.8 -1
1   35 0.32 -1
1 6 46 35 0.48 -1
1 40  36 0.457143 -1
1 16 23 36 0.342857 -1
1 2  37 0.4 -1
1 28  37 0.6 -1
1 26  38 0.8 -1
1 69 22 39 0.266667 -1
1 35  39 0.533333 -1
1   39 0.266667 -1
1 32 2 40 0.4 -1
1 13 0 40 0.6 -1
1 22  41 0.6 -1
1 11  41 0.4 -1
1 15 32 42 0.48 -1
1   42 0.32 -1
1   43 0.228571 -1
1 36 37 43 0.342857 -1
1   43 0.342857 -1
1   44 0.8 -1
1   45 1.2 -1
1 8  46 1.2 -1
1   47 0.8 -1
1 53  48 0.355556 -1
1   48 0.177778 -1
1 31 8 48 0.4 -1
1   49 0.8 -1
1 2 62 50 1.2 -1
1   51 0.48 -1
1 29 41 51 0.72 -1
1 11  52 0.48 -1
1 4 30 52 0.24 -1
1 28 9 52 0.24 -1
1 31 16 53 0.6 -1
1 61 0 53 0.6 -1
1 52 21 54 0.3 -1
1   54 0.3 -1
1 31 39 54 0.45 -1
1 21 42 55 0.48 -1
1   55 0.32 -1
1   56 0.16 -1
1 62  56 0.32 -1
1 61  56 0.48 -1
1 64  57 0.48 -1
1 40 35 57 0.36 -1
1 35 26 57 0.24 -1
1 51  58 0.32 -1
1 38  58 0.32 -1
1   58 0.16 -1
1 13 66 59 0.48 -1
1   59 0.32 -1
1 12  60 0.685714 -1
1 59 52 60 0.342857 -1
1 31 7 61 0.4 -1
1   61 0.266667 -1
1 53  61 0.355556 -1
1 29 31 62 0.36 -1
1 61 29 62 0.36 -1
1 55  62 0.32 -1
1 38 2 63 0.8 -1
1 54 59 64 0.514286 -1
1 26  64 0.685714 -1
1 30 33 65 0.4 -1
1   65 0.266667 -1
1 2  65 0.533333 -1
1 15  66 0.4 -1
1 2  66 0.4 -1
1 26  67 0.533333 -1
1   67 0.266667 -1
1 40  68 0.4 -1
1   68 0.2 -1
1   68 0.2 -1
1 64 30 69 0.8 -1
2 69  0 0.4 -1
2 1  0 0.4 -1
2 33 58 1 0.8 -1
2   3 0.266667 -1
2 5  3 0.533333 -1
2 62 13 4 1.2 -1
2 21  5 0.32 -1
2 28 59 5 0.36 -1
2 35 0 5 0.24 -1
2 66  6 0.32 -1
2   6 0.24 -1
2 44  6 0.48 -1
2   7 0.4 -1
2 15  7 0.533333 -1
2 30 50 8 0.266667 -1
2   8 0.266667 -1
2 16  8 0.355556 -1
2 33  9 1.2 -1
2   10 0.3 -1
2 59 40 10 0.3 -1
2 1 21 10 0.45 -1
2 38  11 0.533333 -1
2   11 0.4 -1
2 64  12 0.290909 -1
2 34 17 12 0.327273 -1
2 57  12 0.290909 -1
2   13 0.4 -1
2   13 0.6 -1
2   14 0.4 -1
2   14 0.4 -1
2 59  15 1.2 -1
2 9  16 0.457143 -1
2 11 37 16 0.514286 -1
2 38  17 0.533333 -1
2   17 0.266667 -1
2 59 1 17 0.266667 -1
2   18 0.8 -1
2   19 0.8 -1
2 13  20 0.4 -1
2   20 0.3 -1
2   20 0.2 -1
2 7 35 21 0.4 -1
2 52 3 21 0.4 -1
2 60 31 21 0.4 -1
2   22 0.342857 -1
2 35 38 22 0.514286 -1
2   22 0.342857 -1
2 63  23 0.685714 -1
2 50 64 23 0.514286 -1
2 67  24 0.8 -1
2   25 1.2 -1
2 13  26 0.8 -1
2   26 0.4 -1
2   27 0.48 -1
2 58 34 27 0.48 -1
2 43  28 0.8 -1
2   29 1.2 -1
2 39  30 0.266667 -1
