0 38 30 1 1.1 -1
0 22  2 0.6 -1
0   2 0.366667 -1
0   3 0.22 -1
0 63  3 0.44 -1
0 44  3 0.36 -1
0 24 46 4 1.1 -1
0 22  5 0.55 -1
0 36  5 0.55 -1
0   6 0.3 -1
0 50  6 0.733333 -1
0   7 0.275 -1
0 27 28 7 0.3375 -1
0 75 4 7 0.3375 -1
0 6  8 0.733333 -1
0   8 0.3 -1
0 72 4 9 1.1 -1
0 54 62 10 0.55 -1
0 75 44 10 0.55 -1
0 78 42 11 1.1 -1
0 63  12 0.45 -1
0   12 0.275 -1
0   12 0.225 -1
0 37  13 1.1 -1
0 70  14 0.6 -1
0   14 0.3 -1
0 39 8 15 0.4125 -1
0   15 0.225 -1
0 31 63 15 0.4125 -1
0 1 19 16 0.45 -1
0 43 10 16 0.55 -1
0 77 24 17 0.385714 -1
0 69  17 0.628571 -1
0   18 0.366667 -1
0 71  18 0.733333 -1
0   19 0.9 -1
0 11 46 20 0.9 -1
0 78  21 0.488889 -1
0 42 54 21 0.366667 -1
0   21 0.2 -1
0 10  22 0.514286 -1
0 6 23 22 0.385714 -1
0 43 72 23 0.9 -1
0 50 32 24 0.9 -1
0 10 51 25 0.9 -1
0 9 72 26 0.55 -1
0 11 70 26 0.55 -1
0   27 1.1 -1
0   28 0.275 -1
0 70  28 0.55 -1
0   28 0.225 -1
0   29 0.366667 -1
0 44  29 0.733333 -1
0 8 34 30 0.9 -1
0   31 0.275 -1
0 30  31 0.55 -1
0   31 0.275 -1
0 50 64 32 1.1 -1
0 27  33 0.9 -1
0 64  34 0.9 -1
0 69  35 0.55 -1
0   35 0.275 -1
0   35 0.225 -1
0 57 63 36 0.9 -1
0 47  37 0.9 -1
0   38 0.9 -1
0 57 54 39 0.3 -1
0   39 0.2 -1
0 57  39 0.4 -1
0 51 37 40 0.245455 -1
0 44  40 0.327273 -1
0 69  40 0.4 -1
0   41 1.1 -1
0 2 4 42 0.4125 -1
0   42 0.275 -1
0 32 72 42 0.4125 -1
0 8  43 0.6 -1
0   43 0.366667 -1
0   44 0.257143 -1
0 25 42 44 0.385714 -1
0   44 0.257143 -1
0   45 0.45 -1
0   45 0.45 -1
0 4 57 46 0.9 -1
0   47 0.275 -1
0 66 14 47 0.4125 -1
0 42 59 47 0.3375 -1
0 5  48 0.733333 -1
0   48 0.3 -1
0   49 0.44 -1
0 71 25 49 0.54 -1
0   50 0.55 -1
0   50 0.55 -1
0 36 15 51 0.3375 -1
0   51 0.225 -1
0 26 38 51 0.4125 -1
0 2 16 52 0.66 -1
0   52 0.36 -1
0   53 0.9 -1
0   54 1.1 -1
0 73  55 0.9 -1
0   56 1.1 -1
0   57 0.314286 -1
0 9 8 57 0.471429 -1
0   57 0.314286 -1
0 43 31 58 1.1 -1
0 15 45 59 0.471429 -1
0   59 0.257143 -1
0   59 0.257143 -1
0 53  60 0.733333 -1
0   60 0.366667 -1
0 10 50 61 0.27 -1
0 32  61 0.36 -1
0 20 57 61 0.27 -1
0 8  62 0.45 -1
0   62 0.225 -1
0   62 0.225 -1
0 37  63 1.1 -1
0 66  64 0.44 -1
0 74 47 64 0.33 -1
0 21 56 64 0.33 -1
0 3  65 0.6 -1
0   65 0.366667 -1
0   66 1.1 -1
0 63  67 0.45 -1
0 43  67 0.45 -1
0 47  68 1.1 -1
0 53 46 69 0.9 -1
0   70 0.2 -1
0 43 54 70 0.3 -1
0 27  70 0.488889 -1
0 31 40 71 0.45 -1
0 57 1 71 0.55 -1
0 51 71 72 0.471429 -1
0   72 0.314286 -1
0   72 0.314286 -1
0 53 46 73 1.1 -1
0 5 47 74 0.55 -1
0 29 46 74 0.55 -1
0 7 46 75 0.45 -1
0 42 36 75 0.55 -1
0   76 0.55 -1
0   76 0.55 -1
0 62  77 0.45 -1
0   77 0.225 -1
0   77 0.225 -1
0 32  78 0.9 -1
0 69  79 1.1 -1
1   0 0.9 -1
1   2 0.3 -1
1 77  2 0.733333 -1
1 23 36 3 1.1 -1
1 63 22 4 0.55 -1
1 8 75 4 0.55 -1
1 33  5 0.4 -1
1 70  5 0.4 -1
1 40 50 5 0.245455 -1
1 32 0 6 0.27 -1
1 66  6 0.36 -1
1 40 48 6 0.33 -1
1 74  7 0.628571 -1
1 35 52 7 0.471429 -1
1 48  8 0.514286 -1
1 42 22 8 0.385714 -1
1 5 35 9 0.55 -1
1 47 63 9 0.45 -1
1   10 0.36 -1
1 47 26 10 0.66 -1
1   11 0.314286 -1
1 66 54 11 0.385714 -1
1   11 0.257143 -1
1 55 66 12 0.55 -1
1 11 43 12 0.55 -1
1 64  13 0.4 -1
1 10 64 13 0.366667 -1
1   13 0.2 -1
1 36  14 0.9 -1
1 33  15 0.36 -1
1 27  15 0.36 -1
1   15 0.22 -1
1 17 23 16 0.4125 -1
1 35 74 16 0.3375 -1
1   16 0.225 -1
1 50 70 17 0.4125 -1
1 4 39 17 0.3375 -1
1   17 0.225 -1
1 54  18 0.628571 -1
1 75 60 18 0.385714 -1
1 63 55 19 0.366667 -1
1 66  19 0.4 -1
1   19 0.244444 -1
1 39 11 20 0.3375 -1
1   20 0.275 -1
1 16 44 20 0.3375 -1
1   21 1.1 -1
1 63 30 22 0.45 -1
1 51 6 22 0.55 -1
1 69 47 23 0.3375 -1
1   23 0.225 -1
1 46 66 23 0.3375 -1
1 75 70 24 0.366667 -1
1   24 0.244444 -1
1 75  24 0.488889 -1
1 78  25 0.366667 -1
1 36  25 0.366667 -1
1 2  25 0.3 -1
1   26 0.22 -1
1 35  26 0.44 -1
1 63  26 0.36 -1
1   27 0.9 -1
1   28 0.9 -1
1 39  29 0.44 -1
1 55 7 29 0.33 -1
1 36 0 29 0.27 -1
1 16 33 30 1.1 -1
1 0  31 0.9 -1
1 33  32 0.4 -1
1 14  32 0.327273 -1
1 39 9 32 0.245455 -1
1 43 25 33 0.9 -1
1   34 1.1 -1
1 11 40 35 0.385714 -1
1 8  35 0.514286 -1
1 48  36 0.327273 -1
1 67  36 0.327273 -1
1 0 42 36 0.245455 -1
1 3 9 37 1.1 -1
1 40 14 38 0.385714 -1
1   38 0.314286 -1
1   38 0.314286 -1
1 54  39 0.6 -1
1   39 0.3 -1
1 53 31 40 0.3375 -1
1 34 75 40 0.3375 -1
1   40 0.275 -1
1   41 0.257143 -1
1   41 0.314286 -1
1 71 60 41 0.385714 -1
1   42 0.366667 -1
1   42 0.3 -1
1   42 0.3 -1
1 33  43 0.488889 -1
1   43 0.2 -1
1 10 45 43 0.3 -1
1 11  44 0.36 -1
1 36 42 44 0.33 -1
1 26 23 44 0.27 -1
1   45 0.3 -1
1   45 0.3 -1
1   45 0.366667 -1
1 8 60 46 0.3 -1
1 13  46 0.488889 -1
1   46 0.2 -1
1   47 0.44 -1
1 0 15 47 0.66 -1
1 35  48 0.488889 -1
1 52 21 48 0.366667 -1
1   48 0.244444 -1
1 50  49 0.514286 -1
1 38 54 49 0.471429 -1
1   50 0.275 -1
1 5  50 0.55 -1
1   50 0.225 -1
1   51 0.225 -1
1   51 0.275 -1
1 41  51 0.45 -1
1   52 0.9 -1
1 42 58 53 0.3 -1
1 6  53 0.327273 -1
1 71  53 0.4 -1
1 37  54 0.55 -1
1 52  54 0.55 -1
1   55 0.2 -1
1 44 48 55 0.3 -1
1 64  55 0.488889 -1
1 70 5 56 0.9 -1
1 43  57 0.45 -1
1 3  57 0.45 -1
1 57 67 58 0.3375 -1
1   58 0.225 -1
1 42 8 58 0.3375 -1
1 57 4 59 0.4125 -1
1 8 70 59 0.3375 -1
1   59 0.275 -1
1   60 1.1 -1
1   61 0.275 -1
1   61 0.275 -1
1 77  61 0.55 -1
1 9  62 0.628571 -1
1 43 11 62 0.471429 -1
1 67  63 0.55 -1
1   63 0.275 -1
1   63 0.225 -1
1 47 77 64 0.366667 -1
1 66  64 0.488889 -1
1   64 0.2 -1
1 44  65 0.9 -1
1 0 23 66 0.3 -1
1 0  66 0.4 -1
1 5  66 0.327273 -1
1 10  67 0.733333 -1
1   67 0.366667 -1
1 48 53 68 0.385714 -1
1   68 0.257143 -1
1   68 0.257143 -1
1 66  69 0.514286 -1
1 70 63 69 0.471429 -1
1 19 50 70 0.385714 -1
1 36  70 0.514286 -1
1   71 0.22 -1
